0.01 1.00 1.59
0.21 0.76 0.20
0.71 0.22 0.04
0.74 0.86 -0.24
0.45 0.69 1.09
0.23 0.59 2.06
0.77 0.67 0.01
0.52 0.11 1.16
0.36 0.13 1.09
0.89 0.12 0.76
0.18 0.51 2.03
0.95 0.54 0.98
0.22 0.58 2.37
0.63 0.21 0.15
0.61 0.27 0.59
0.99 0.77 -0.93
0.15 0.58 1.94
0.84 0.48 1.57
0.80 0.76 -0.07
0.43 0.70 1.39
0.84 0.45 0.87
0.32 0.24 0.13
0.99 0.14 -0.65
0.34 0.06 2.31
0.23 0.32 0.71
0.97 0.97 0.37
0.45 0.89 1.33
0.92 0.09 0.53
0.31 0.77 0.50
0.87 0.82 -1.19
0.58 0.46 1.47
0.78 0.90 0.75
0.72 0.47 1.95
0.52 0.92 0.92
0.67 0.73 -0.13
0.10 0.81 0.10
0.90 0.10 0.54
0.92 0.54 1.30
1.00 0.80 -1.53
0.60 0.67 1.34
0.25 0.15 1.07
0.04 0.62 0.83
0.88 0.45 1.22
0.30 0.25 0.71
0.79 0.53 1.55
0.27 0.22 0.97
0.76 0.94 0.74
0.72 0.03 2.01
0.22 0.63 1.89
0.04 0.40 0.68

